,date,name,wholesale,retail,mall
463,2024-05-09,Brinjal (Big),21,24 - 27,25 - 35
464,2024-05-09,Elephant Yam,25,29 - 32,30 - 41
465,2024-05-09,Fenugreek Leaves,12,14 - 15,14 - 20
466,2024-05-09,French Beans,53,61 - 67,64 - 87
467,2024-05-09,Garlic,156,179 - 198,187 - 257
468,2024-05-09,Ginger,116,133 - 147,139 - 191
469,2024-05-09,Onion Green,45,52 - 57,54 - 74
470,2024-05-09,Green Peas,41,47 - 52,49 - 68
471,2024-05-09,Ivy Gourd,23,26 - 29,28 - 38
472,2024-05-09,Lemon (Lime),73,84 - 93,88 - 120
473,2024-05-09,Mango Raw,26,30 - 33,31 - 43
474,2024-05-09,Mint Leaves,5,6 - 6,6 - 8
475,2024-05-09,Mushroom,73,84 - 93,88 - 120
476,2024-05-09,Mustard Leaves,18,21 - 23,22 - 30
477,2024-05-09,Ladies Finger,40,46 - 51,48 - 66
478,2024-05-09,Pumpkin,23,26 - 29,28 - 38
479,2024-05-09,Radish,24,28 - 30,29 - 40
480,2024-05-09,Ridge Gourd,31,36 - 39,37 - 51
481,2024-05-09,Shallot (Pearl Onion),37,43 - 47,44 - 61
482,2024-05-09,Snake Gourd,23,26 - 29,28 - 38
483,2024-05-09,Sorrel Leaves,10,12 - 13,12 - 17
484,2024-05-09,Spinach,14,16 - 18,17 - 23
485,2024-05-09,Sweet Potato,36,41 - 46,43 - 59
486,2024-05-10,Onion Big,25,29 - 32,30 - 41
487,2024-05-10,Onion Small,33,38 - 42,40 - 54
488,2024-05-10,Tomato,25,29 - 32,30 - 41
489,2024-05-10,Green Chilli,40,46 - 51,48 - 66
490,2024-05-10,Beetroot,35,40 - 44,42 - 58
491,2024-05-10,Potato,31,36 - 39,37 - 51
492,2024-05-10,Raw Banana (Plantain),7,8 - 9,8 - 12
493,2024-05-10,Amaranth Leaves,13,15 - 17,16 - 21
494,2024-05-10,Amla,70,81 - 89,84 - 116
495,2024-05-10,Ash gourd,20,23 - 25,24 - 33
496,2024-05-10,Baby Corn,59,68 - 75,71 - 97
497,2024-05-10,Banana Flower,17,20 - 22,20 - 28
498,2024-05-10,Capsicum,47,54 - 60,56 - 78
499,2024-05-10,Bitter Gourd,33,38 - 42,40 - 54
500,2024-05-10,Bottle Gourd,25,29 - 32,30 - 41
501,2024-05-10,Butter Beans,48,55 - 61,58 - 79
502,2024-05-10,Broad Beans,31,36 - 39,37 - 51
503,2024-05-10,Cabbage,21,24 - 27,25 - 35
504,2024-05-10,Carrot,45,52 - 57,54 - 74
505,2024-05-10,Cauliflower,25,29 - 32,30 - 41
506,2024-05-10,Cluster beans,42,48 - 53,50 - 69
507,2024-05-10,Coconut,37,43 - 47,44 - 61
508,2024-05-10,Colocasia Leaves,12,14 - 15,14 - 20
509,2024-05-10,Colocasia,26,30 - 33,31 - 43
510,2024-05-10,Coriander Leaves,10,12 - 13,12 - 17
511,2024-05-10,Corn,29,33 - 37,35 - 48
512,2024-05-10,Cucumber,25,29 - 32,30 - 41
513,2024-05-10,Curry Leaves,26,30 - 33,31 - 43
514,2024-05-10,Dill Leaves,15,17 - 19,18 - 25
515,2024-05-10,Drumsticks,40,46 - 51,48 - 66
516,2024-05-10,Brinjal,27,31 - 34,32 - 45
517,2024-05-10,Brinjal (Big),21,24 - 27,25 - 35
518,2024-05-10,Elephant Yam,25,29 - 32,30 - 41
519,2024-05-10,Fenugreek Leaves,12,14 - 15,14 - 20
520,2024-05-10,French Beans,53,61 - 67,64 - 87
521,2024-05-10,Garlic,156,179 - 198,187 - 257
522,2024-05-10,Ginger,116,133 - 147,139 - 191
523,2024-05-10,Onion Green,45,52 - 57,54 - 74
524,2024-05-10,Green Peas,41,47 - 52,49 - 68
525,2024-05-10,Ivy Gourd,23,26 - 29,28 - 38
526,2024-05-10,Lemon (Lime),73,84 - 93,88 - 120
527,2024-05-10,Mango Raw,26,30 - 33,31 - 43
528,2024-05-10,Mint Leaves,5,6 - 6,6 - 8
529,2024-05-10,Mushroom,73,84 - 93,88 - 120
530,2024-05-10,Mustard Leaves,18,21 - 23,22 - 30
531,2024-05-10,Ladies Finger,40,46 - 51,48 - 66
532,2024-05-10,Pumpkin,23,26 - 29,28 - 38
533,2024-05-10,Radish,24,28 - 30,29 - 40
534,2024-05-10,Ridge Gourd,31,36 - 39,37 - 51
535,2024-05-10,Shallot (Pearl Onion),37,43 - 47,44 - 61
536,2024-05-10,Snake Gourd,23,26 - 29,28 - 38
537,2024-05-10,Sorrel Leaves,10,12 - 13,12 - 17
538,2024-05-10,Spinach,14,16 - 18,17 - 23
539,2024-05-10,Sweet Potato,36,41 - 46,43 - 59
540,2024-05-11,Onion Big,25,29 - 32,30 - 41
541,2024-05-11,Onion Small,33,38 - 42,40 - 54
542,2024-05-11,Tomato,25,29 - 32,30 - 41
543,2024-05-11,Green Chilli,40,46 - 51,48 - 66
544,2024-05-11,Beetroot,35,40 - 44,42 - 58
545,2024-05-11,Potato,31,36 - 39,37 - 51
546,2024-05-11,Raw Banana (Plantain),7,8 - 9,8 - 12
547,2024-05-11,Amaranth Leaves,13,15 - 17,16 - 21
548,2024-05-11,Amla,70,81 - 89,84 - 116
549,2024-05-11,Ash gourd,20,23 - 25,24 - 33
550,2024-05-11,Baby Corn,59,68 - 75,71 - 97
551,2024-05-11,Banana Flower,17,20 - 22,20 - 28
552,2024-05-11,Capsicum,47,54 - 60,56 - 78
553,2024-05-11,Bitter Gourd,33,38 - 42,40 - 54
554,2024-05-11,Bottle Gourd,25,29 - 32,30 - 41
555,2024-05-11,Butter Beans,48,55 - 61,58 - 79
556,2024-05-11,Broad Beans,31,36 - 39,37 - 51
557,2024-05-11,Cabbage,21,24 - 27,25 - 35
558,2024-05-11,Carrot,45,52 - 57,54 - 74
559,2024-05-11,Cauliflower,25,29 - 32,30 - 41
560,2024-05-11,Cluster beans,42,48 - 53,50 - 69
561,2024-05-11,Coconut,37,43 - 47,44 - 61
562,2024-05-11,Colocasia Leaves,12,14 - 15,14 - 20
563,2024-05-11,Colocasia,26,30 - 33,31 - 43
564,2024-05-11,Coriander Leaves,10,12 - 13,12 - 17
565,2024-05-11,Corn,29,33 - 37,35 - 48
566,2024-05-11,Cucumber,25,29 - 32,30 - 41
567,2024-05-11,Curry Leaves,26,30 - 33,31 - 43
568,2024-05-11,Dill Leaves,15,17 - 19,18 - 25
569,2024-05-11,Drumsticks,40,46 - 51,48 - 66
570,2024-05-11,Brinjal,27,31 - 34,32 - 45
571,2024-05-11,Brinjal (Big),21,24 - 27,25 - 35
572,2024-05-11,Elephant Yam,25,29 - 32,30 - 41
573,2024-05-11,Fenugreek Leaves,12,14 - 15,14 - 20
574,2024-05-11,French Beans,53,61 - 67,64 - 87
575,2024-05-11,Garlic,156,179 - 198,187 - 257
576,2024-05-11,Ginger,116,133 - 147,139 - 191
577,2024-05-11,Onion Green,45,52 - 57,54 - 74
578,2024-05-11,Green Peas,41,47 - 52,49 - 68
579,2024-05-11,Ivy Gourd,23,26 - 29,28 - 38
580,2024-05-11,Lemon (Lime),73,84 - 93,88 - 120
581,2024-05-11,Mango Raw,26,30 - 33,31 - 43
582,2024-05-11,Mint Leaves,5,6 - 6,6 - 8
583,2024-05-11,Mushroom,73,84 - 93,88 - 120
584,2024-05-11,Mustard Leaves,18,21 - 23,22 - 30
585,2024-05-11,Ladies Finger,40,46 - 51,48 - 66
586,2024-05-11,Pumpkin,23,26 - 29,28 - 38
587,2024-05-11,Radish,24,28 - 30,29 - 40
588,2024-05-11,Ridge Gourd,31,36 - 39,37 - 51
589,2024-05-11,Shallot (Pearl Onion),37,43 - 47,44 - 61
590,2024-05-11,Snake Gourd,23,26 - 29,28 - 38
591,2024-05-11,Sorrel Leaves,10,12 - 13,12 - 17
592,2024-05-11,Spinach,14,16 - 18,17 - 23
593,2024-05-11,Sweet Potato,36,41 - 46,43 - 59
594,2024-05-12,Onion Big,25,29 - 32,30 - 41
595,2024-05-12,Onion Small,36,41 - 46,43 - 59
596,2024-05-12,Tomato,24,28 - 30,29 - 40
597,2024-05-12,Green Chilli,40,46 - 51,48 - 66
598,2024-05-12,Beetroot,39,45 - 50,47 - 64
599,2024-05-12,Potato,29,33 - 37,35 - 48
600,2024-05-12,Raw Banana (Plantain),7,8 - 9,8 - 12
601,2024-05-12,Amaranth Leaves,10,12 - 13,12 - 17
602,2024-05-12,Amla,70,81 - 89,84 - 116
603,2024-05-12,Ash gourd,19,22 - 24,23 - 31
604,2024-05-12,Baby Corn,52,60 - 66,62 - 86
605,2024-05-12,Banana Flower,15,17 - 19,18 - 25
606,2024-05-12,Capsicum,47,54 - 60,56 - 78
607,2024-05-12,Bitter Gourd,34,39 - 43,41 - 56
608,2024-05-12,Bottle Gourd,24,28 - 30,29 - 40
609,2024-05-12,Butter Beans,48,55 - 61,58 - 79
610,2024-05-12,Broad Beans,34,39 - 43,41 - 56
611,2024-05-12,Cabbage,19,22 - 24,23 - 31
612,2024-05-12,Carrot,45,52 - 57,54 - 74
613,2024-05-12,Cauliflower,25,29 - 32,30 - 41
614,2024-05-12,Cluster beans,44,51 - 56,53 - 73
615,2024-05-12,Coconut,36,41 - 46,43 - 59
616,2024-05-12,Colocasia Leaves,16,18 - 20,19 - 26
617,2024-05-12,Colocasia,27,31 - 34,32 - 45
618,2024-05-12,Coriander Leaves,7,8 - 9,8 - 12
619,2024-05-12,Corn,30,35 - 38,36 - 50
620,2024-05-12,Cucumber,26,30 - 33,31 - 43
621,2024-05-12,Curry Leaves,28,32 - 36,34 - 46
622,2024-05-12,Dill Leaves,10,12 - 13,12 - 17
623,2024-05-12,Drumsticks,50,58 - 64,60 - 83
624,2024-05-12,Brinjal,26,30 - 33,31 - 43
625,2024-05-12,Brinjal (Big),22,25 - 28,26 - 36
626,2024-05-12,Elephant Yam,28,32 - 36,34 - 46
627,2024-05-12,Fenugreek Leaves,12,14 - 15,14 - 20
628,2024-05-12,French Beans,53,61 - 67,64 - 87
629,2024-05-12,Garlic,154,177 - 196,185 - 254
630,2024-05-12,Ginger,100,115 - 127,120 - 165
631,2024-05-12,Onion Green,43,49 - 55,52 - 71
632,2024-05-12,Green Peas,42,48 - 53,50 - 69
633,2024-05-12,Ivy Gourd,27,31 - 34,32 - 45
634,2024-05-12,Lemon (Lime),63,72 - 80,76 - 104
635,2024-05-12,Mango Raw,32,37 - 41,38 - 53
636,2024-05-12,Mint Leaves,5,6 - 6,6 - 8
637,2024-05-12,Mushroom,74,85 - 94,89 - 122
638,2024-05-12,Mustard Leaves,18,21 - 23,22 - 30
639,2024-05-12,Ladies Finger,36,41 - 46,43 - 59
640,2024-05-12,Pumpkin,18,21 - 23,22 - 30
641,2024-05-12,Radish,26,30 - 33,31 - 43
642,2024-05-12,Ridge Gourd,32,37 - 41,38 - 53
643,2024-05-12,Shallot (Pearl Onion),31,36 - 39,37 - 51
644,2024-05-12,Snake Gourd,26,30 - 33,31 - 43
645,2024-05-12,Sorrel Leaves,13,15 - 17,16 - 21
646,2024-05-12,Spinach,10,12 - 13,12 - 17
647,2024-05-12,Sweet Potato,37,43 - 47,44 - 61
648,2024-05-13,Onion Big,25,29 - 32,30 - 41
649,2024-05-13,Onion Small,36,41 - 46,43 - 59
650,2024-05-13,Tomato,24,28 - 30,29 - 40
651,2024-05-13,Green Chilli,40,46 - 51,48 - 66
652,2024-05-13,Beetroot,39,45 - 50,47 - 64
653,2024-05-13,Potato,29,33 - 37,35 - 48
654,2024-05-13,Raw Banana (Plantain),7,8 - 9,8 - 12
655,2024-05-13,Amaranth Leaves,10,12 - 13,12 - 17
656,2024-05-13,Amla,70,81 - 89,84 - 116
657,2024-05-13,Ash gourd,19,22 - 24,23 - 31
658,2024-05-13,Baby Corn,52,60 - 66,62 - 86
659,2024-05-13,Banana Flower,15,17 - 19,18 - 25
660,2024-05-13,Capsicum,47,54 - 60,56 - 78
661,2024-05-13,Bitter Gourd,34,39 - 43,41 - 56
662,2024-05-13,Bottle Gourd,24,28 - 30,29 - 40
663,2024-05-13,Butter Beans,48,55 - 61,58 - 79
664,2024-05-13,Broad Beans,34,39 - 43,41 - 56
665,2024-05-13,Cabbage,19,22 - 24,23 - 31
666,2024-05-13,Carrot,45,52 - 57,54 - 74
667,2024-05-13,Cauliflower,25,29 - 32,30 - 41
668,2024-05-13,Cluster beans,44,51 - 56,53 - 73
669,2024-05-13,Coconut,36,41 - 46,43 - 59
670,2024-05-13,Colocasia Leaves,16,18 - 20,19 - 26
671,2024-05-13,Colocasia,27,31 - 34,32 - 45
672,2024-05-13,Coriander Leaves,7,8 - 9,8 - 12
673,2024-05-13,Corn,30,35 - 38,36 - 50
674,2024-05-13,Cucumber,26,30 - 33,31 - 43
675,2024-05-13,Curry Leaves,28,32 - 36,34 - 46
676,2024-05-13,Dill Leaves,10,12 - 13,12 - 17
677,2024-05-13,Drumsticks,50,58 - 64,60 - 83
678,2024-05-13,Brinjal,26,30 - 33,31 - 43
679,2024-05-13,Brinjal (Big),22,25 - 28,26 - 36
680,2024-05-13,Elephant Yam,28,32 - 36,34 - 46
681,2024-05-13,Fenugreek Leaves,12,14 - 15,14 - 20
682,2024-05-13,French Beans,53,61 - 67,64 - 87
683,2024-05-13,Garlic,154,177 - 196,185 - 254
684,2024-05-13,Ginger,100,115 - 127,120 - 165
685,2024-05-13,Onion Green,43,49 - 55,52 - 71
686,2024-05-13,Green Peas,42,48 - 53,50 - 69
687,2024-05-13,Ivy Gourd,27,31 - 34,32 - 45
688,2024-05-13,Lemon (Lime),63,72 - 80,76 - 104
689,2024-05-13,Mango Raw,32,37 - 41,38 - 53
690,2024-05-13,Mint Leaves,5,6 - 6,6 - 8
691,2024-05-13,Mushroom,74,85 - 94,89 - 122
692,2024-05-13,Mustard Leaves,18,21 - 23,22 - 30
693,2024-05-13,Ladies Finger,36,41 - 46,43 - 59
694,2024-05-13,Pumpkin,18,21 - 23,22 - 30
695,2024-05-13,Radish,26,30 - 33,31 - 43
696,2024-05-13,Ridge Gourd,32,37 - 41,38 - 53
697,2024-05-13,Shallot (Pearl Onion),31,36 - 39,37 - 51
698,2024-05-13,Snake Gourd,26,30 - 33,31 - 43
699,2024-05-13,Sorrel Leaves,13,15 - 17,16 - 21
700,2024-05-13,Spinach,10,12 - 13,12 - 17
701,2024-05-13,Sweet Potato,37,43 - 47,44 - 61
702,2024-05-14,Onion Big,25,29 - 32,30 - 41
703,2024-05-14,Onion Small,36,41 - 46,43 - 59
704,2024-05-14,Tomato,24,28 - 30,29 - 40
705,2024-05-14,Green Chilli,40,46 - 51,48 - 66
706,2024-05-14,Beetroot,39,45 - 50,47 - 64
707,2024-05-14,Potato,29,33 - 37,35 - 48
708,2024-05-14,Raw Banana (Plantain),7,8 - 9,8 - 12
709,2024-05-14,Amaranth Leaves,10,12 - 13,12 - 17
710,2024-05-14,Amla,70,81 - 89,84 - 116
711,2024-05-14,Ash gourd,19,22 - 24,23 - 31
712,2024-05-14,Baby Corn,52,60 - 66,62 - 86
713,2024-05-14,Banana Flower,15,17 - 19,18 - 25
714,2024-05-14,Capsicum,47,54 - 60,56 - 78
715,2024-05-14,Bitter Gourd,34,39 - 43,41 - 56
716,2024-05-14,Bottle Gourd,24,28 - 30,29 - 40
717,2024-05-14,Butter Beans,48,55 - 61,58 - 79
718,2024-05-14,Broad Beans,34,39 - 43,41 - 56
719,2024-05-14,Cabbage,19,22 - 24,23 - 31
720,2024-05-14,Carrot,45,52 - 57,54 - 74
721,2024-05-14,Cauliflower,25,29 - 32,30 - 41
722,2024-05-14,Cluster beans,44,51 - 56,53 - 73
723,2024-05-14,Coconut,36,41 - 46,43 - 59
724,2024-05-14,Colocasia Leaves,16,18 - 20,19 - 26
725,2024-05-14,Colocasia,27,31 - 34,32 - 45
726,2024-05-14,Coriander Leaves,7,8 - 9,8 - 12
727,2024-05-14,Corn,30,35 - 38,36 - 50
728,2024-05-14,Cucumber,26,30 - 33,31 - 43
729,2024-05-14,Curry Leaves,28,32 - 36,34 - 46
730,2024-05-14,Dill Leaves,10,12 - 13,12 - 17
731,2024-05-14,Drumsticks,50,58 - 64,60 - 83
732,2024-05-14,Brinjal,26,30 - 33,31 - 43
733,2024-05-14,Brinjal (Big),22,25 - 28,26 - 36
734,2024-05-14,Elephant Yam,28,32 - 36,34 - 46
735,2024-05-14,Fenugreek Leaves,12,14 - 15,14 - 20
736,2024-05-14,French Beans,53,61 - 67,64 - 87
737,2024-05-14,Garlic,154,177 - 196,185 - 254
738,2024-05-14,Ginger,100,115 - 127,120 - 165
739,2024-05-14,Onion Green,43,49 - 55,52 - 71
740,2024-05-14,Green Peas,42,48 - 53,50 - 69
741,2024-05-14,Ivy Gourd,27,31 - 34,32 - 45
742,2024-05-14,Lemon (Lime),63,72 - 80,76 - 104
743,2024-05-14,Mango Raw,32,37 - 41,38 - 53
744,2024-05-14,Mint Leaves,5,6 - 6,6 - 8
745,2024-05-14,Mushroom,74,85 - 94,89 - 122
746,2024-05-14,Mustard Leaves,18,21 - 23,22 - 30
747,2024-05-14,Ladies Finger,36,41 - 46,43 - 59
748,2024-05-14,Pumpkin,18,21 - 23,22 - 30
749,2024-05-14,Radish,26,30 - 33,31 - 43
750,2024-05-14,Ridge Gourd,32,37 - 41,38 - 53
751,2024-05-14,Shallot (Pearl Onion),31,36 - 39,37 - 51
752,2024-05-14,Snake Gourd,26,30 - 33,31 - 43
753,2024-05-14,Sorrel Leaves,13,15 - 17,16 - 21
754,2024-05-14,Spinach,10,12 - 13,12 - 17
755,2024-05-14,Sweet Potato,37,43 - 47,44 - 61
756,2024-05-15,Onion Big,26,30 - 33,31 - 43
757,2024-05-15,Onion Small,35,40 - 44,42 - 58
758,2024-05-15,Tomato,21,24 - 27,25 - 35
759,2024-05-15,Green Chilli,62,71 - 79,74 - 102
760,2024-05-15,Beetroot,36,41 - 46,43 - 59
761,2024-05-15,Potato,36,41 - 46,43 - 59
762,2024-05-15,Raw Banana (Plantain),8,9 - 10,10 - 13
763,2024-05-15,Amaranth Leaves,10,12 - 13,12 - 17
764,2024-05-15,Amla,60,69 - 76,72 - 99
765,2024-05-15,Ash gourd,22,25 - 28,26 - 36
766,2024-05-15,Baby Corn,56,64 - 71,67 - 92
767,2024-05-15,Banana Flower,14,16 - 18,17 - 23
768,2024-05-15,Capsicum,46,53 - 58,55 - 76
769,2024-05-15,Bitter Gourd,30,35 - 38,36 - 50
770,2024-05-15,Bottle Gourd,34,39 - 43,41 - 56
771,2024-05-15,Butter Beans,48,55 - 61,58 - 79
772,2024-05-15,Broad Beans,66,76 - 84,79 - 109
773,2024-05-15,Cabbage,34,39 - 43,41 - 56
774,2024-05-15,Carrot,48,55 - 61,58 - 79
775,2024-05-15,Cauliflower,24,28 - 30,29 - 40
776,2024-05-15,Cluster beans,42,48 - 53,50 - 69
777,2024-05-15,Coconut,35,40 - 44,42 - 58
778,2024-05-15,Colocasia Leaves,14,16 - 18,17 - 23
779,2024-05-15,Colocasia,27,31 - 34,32 - 45
780,2024-05-15,Coriander Leaves,8,9 - 10,10 - 13
781,2024-05-15,Corn,34,39 - 43,41 - 56
782,2024-05-15,Cucumber,28,32 - 36,34 - 46
783,2024-05-15,Curry Leaves,29,33 - 37,35 - 48
784,2024-05-15,Dill Leaves,15,17 - 19,18 - 25
785,2024-05-15,Drumsticks,40,46 - 51,48 - 66
786,2024-05-15,Brinjal,38,44 - 48,46 - 63
787,2024-05-15,Brinjal (Big),30,35 - 38,36 - 50
788,2024-05-15,Elephant Yam,40,46 - 51,48 - 66
789,2024-05-15,Fenugreek Leaves,12,14 - 15,14 - 20
790,2024-05-15,French Beans,182,209 - 231,218 - 300
791,2024-05-15,Garlic,272,313 - 345,326 - 449
792,2024-05-15,Ginger,109,125 - 138,131 - 180
793,2024-05-15,Onion Green,39,45 - 50,47 - 64
794,2024-05-15,Green Peas,41,47 - 52,49 - 68
795,2024-05-15,Ivy Gourd,29,33 - 37,35 - 48
796,2024-05-15,Lemon (Lime),80,92 - 102,96 - 132
797,2024-05-15,Mango Raw,28,32 - 36,34 - 46
798,2024-05-15,Mint Leaves,4,5 - 5,5 - 7
799,2024-05-15,Mushroom,95,109 - 121,114 - 157
800,2024-05-15,Mustard Leaves,16,18 - 20,19 - 26
801,2024-05-15,Ladies Finger,43,49 - 55,52 - 71
802,2024-05-15,Pumpkin,19,22 - 24,23 - 31
803,2024-05-15,Radish,36,41 - 46,43 - 59
804,2024-05-15,Ridge Gourd,32,37 - 41,38 - 53
805,2024-05-15,Shallot (Pearl Onion),29,33 - 37,35 - 48
806,2024-05-15,Snake Gourd,39,45 - 50,47 - 64
807,2024-05-15,Sorrel Leaves,15,17 - 19,18 - 25
808,2024-05-15,Spinach,16,18 - 20,19 - 26
809,2024-05-15,Sweet Potato,40,46 - 51,48 - 66
810,2024-05-16,Onion Big,26,30 - 33,31 - 43
811,2024-05-16,Onion Small,35,40 - 44,42 - 58
812,2024-05-16,Tomato,21,24 - 27,25 - 35
813,2024-05-16,Green Chilli,62,71 - 79,74 - 102
814,2024-05-16,Beetroot,36,41 - 46,43 - 59
815,2024-05-16,Potato,36,41 - 46,43 - 59
816,2024-05-16,Raw Banana (Plantain),8,9 - 10,10 - 13
817,2024-05-16,Amaranth Leaves,10,12 - 13,12 - 17
818,2024-05-16,Amla,60,69 - 76,72 - 99
819,2024-05-16,Ash gourd,22,25 - 28,26 - 36
820,2024-05-16,Baby Corn,56,64 - 71,67 - 92
821,2024-05-16,Banana Flower,14,16 - 18,17 - 23
822,2024-05-16,Capsicum,46,53 - 58,55 - 76
823,2024-05-16,Bitter Gourd,30,35 - 38,36 - 50
824,2024-05-16,Bottle Gourd,34,39 - 43,41 - 56
825,2024-05-16,Butter Beans,48,55 - 61,58 - 79
826,2024-05-16,Broad Beans,66,76 - 84,79 - 109
827,2024-05-16,Cabbage,34,39 - 43,41 - 56
828,2024-05-16,Carrot,48,55 - 61,58 - 79
829,2024-05-16,Cauliflower,24,28 - 30,29 - 40
830,2024-05-16,Cluster beans,42,48 - 53,50 - 69
831,2024-05-16,Coconut,35,40 - 44,42 - 58
832,2024-05-16,Colocasia Leaves,14,16 - 18,17 - 23
833,2024-05-16,Colocasia,27,31 - 34,32 - 45
834,2024-05-16,Coriander Leaves,8,9 - 10,10 - 13
835,2024-05-16,Corn,34,39 - 43,41 - 56
836,2024-05-16,Cucumber,28,32 - 36,34 - 46
837,2024-05-16,Curry Leaves,29,33 - 37,35 - 48
838,2024-05-16,Dill Leaves,15,17 - 19,18 - 25
839,2024-05-16,Drumsticks,40,46 - 51,48 - 66
840,2024-05-16,Brinjal,38,44 - 48,46 - 63
841,2024-05-16,Brinjal (Big),30,35 - 38,36 - 50
842,2024-05-16,Elephant Yam,40,46 - 51,48 - 66
843,2024-05-16,Fenugreek Leaves,12,14 - 15,14 - 20
844,2024-05-16,French Beans,182,209 - 231,218 - 300
845,2024-05-16,Garlic,272,313 - 345,326 - 449
846,2024-05-16,Ginger,109,125 - 138,131 - 180
847,2024-05-16,Onion Green,39,45 - 50,47 - 64
848,2024-05-16,Green Peas,41,47 - 52,49 - 68
849,2024-05-16,Ivy Gourd,29,33 - 37,35 - 48
850,2024-05-16,Lemon (Lime),80,92 - 102,96 - 132
851,2024-05-16,Mango Raw,28,32 - 36,34 - 46
852,2024-05-16,Mint Leaves,4,5 - 5,5 - 7
853,2024-05-16,Mushroom,95,109 - 121,114 - 157
854,2024-05-16,Mustard Leaves,16,18 - 20,19 - 26
855,2024-05-16,Ladies Finger,43,49 - 55,52 - 71
856,2024-05-16,Pumpkin,19,22 - 24,23 - 31
857,2024-05-16,Radish,36,41 - 46,43 - 59
858,2024-05-16,Ridge Gourd,32,37 - 41,38 - 53
859,2024-05-16,Shallot (Pearl Onion),29,33 - 37,35 - 48
860,2024-05-16,Snake Gourd,39,45 - 50,47 - 64
861,2024-05-16,Sorrel Leaves,15,17 - 19,18 - 25
862,2024-05-16,Spinach,16,18 - 20,19 - 26
863,2024-05-16,Sweet Potato,40,46 - 51,48 - 66
864,2024-05-17,Onion Big,24,28 - 30,29 - 40
865,2024-05-17,Onion Small,37,43 - 47,44 - 61
866,2024-05-17,Tomato,21,24 - 27,25 - 35
867,2024-05-17,Green Chilli,64,74 - 81,77 - 106
868,2024-05-17,Beetroot,39,45 - 50,47 - 64
869,2024-05-17,Potato,35,40 - 44,42 - 58
870,2024-05-17,Raw Banana (Plantain),8,9 - 10,10 - 13
871,2024-05-17,Amaranth Leaves,11,13 - 14,13 - 18
872,2024-05-17,Amla,60,69 - 76,72 - 99
873,2024-05-17,Ash gourd,22,25 - 28,26 - 36
874,2024-05-17,Baby Corn,62,71 - 79,74 - 102
875,2024-05-17,Banana Flower,16,18 - 20,19 - 26
876,2024-05-17,Capsicum,43,49 - 55,52 - 71
877,2024-05-17,Bitter Gourd,32,37 - 41,38 - 53
878,2024-05-17,Bottle Gourd,33,38 - 42,40 - 54
879,2024-05-17,Butter Beans,48,55 - 61,58 - 79
880,2024-05-17,Broad Beans,62,71 - 79,74 - 102
881,2024-05-17,Cabbage,31,36 - 39,37 - 51
882,2024-05-17,Carrot,41,47 - 52,49 - 68
883,2024-05-17,Cauliflower,25,29 - 32,30 - 41
884,2024-05-17,Cluster beans,41,47 - 52,49 - 68
885,2024-05-17,Coconut,38,44 - 48,46 - 63
886,2024-05-17,Colocasia Leaves,18,21 - 23,22 - 30
887,2024-05-17,Colocasia,25,29 - 32,30 - 41
888,2024-05-17,Coriander Leaves,6,7 - 8,7 - 10
889,2024-05-17,Corn,33,38 - 42,40 - 54
890,2024-05-17,Cucumber,27,31 - 34,32 - 45
891,2024-05-17,Curry Leaves,28,32 - 36,34 - 46
892,2024-05-17,Dill Leaves,14,16 - 18,17 - 23
893,2024-05-17,Drumsticks,40,46 - 51,48 - 66
894,2024-05-17,Brinjal,38,44 - 48,46 - 63
895,2024-05-17,Brinjal (Big),31,36 - 39,37 - 51
896,2024-05-17,Elephant Yam,39,45 - 50,47 - 64
897,2024-05-17,Fenugreek Leaves,11,13 - 14,13 - 18
898,2024-05-17,French Beans,181,208 - 230,217 - 299
899,2024-05-17,Garlic,255,293 - 324,306 - 421
900,2024-05-17,Ginger,131,151 - 166,157 - 216
901,2024-05-17,Onion Green,38,44 - 48,46 - 63
902,2024-05-17,Green Peas,47,54 - 60,56 - 78
903,2024-05-17,Ivy Gourd,32,37 - 41,38 - 53
904,2024-05-17,Lemon (Lime),94,108 - 119,113 - 155
905,2024-05-17,Mango Raw,28,32 - 36,34 - 46
906,2024-05-17,Mint Leaves,4,5 - 5,5 - 7
907,2024-05-17,Mushroom,78,90 - 99,94 - 129
908,2024-05-17,Mustard Leaves,12,14 - 15,14 - 20
909,2024-05-17,Ladies Finger,41,47 - 52,49 - 68
910,2024-05-17,Pumpkin,20,23 - 25,24 - 33
911,2024-05-17,Radish,30,35 - 38,36 - 50
912,2024-05-17,Ridge Gourd,30,35 - 38,36 - 50
913,2024-05-17,Shallot (Pearl Onion),31,36 - 39,37 - 51
914,2024-05-17,Snake Gourd,33,38 - 42,40 - 54
915,2024-05-17,Sorrel Leaves,15,17 - 19,18 - 25
916,2024-05-17,Spinach,17,20 - 22,20 - 28
917,2024-05-17,Sweet Potato,40,46 - 51,48 - 66
918,2024-05-18,Onion Big,24,28 - 30,29 - 40
919,2024-05-18,Onion Small,37,43 - 47,44 - 61
920,2024-05-18,Tomato,21,24 - 27,25 - 35
921,2024-05-18,Green Chilli,64,74 - 81,77 - 106
922,2024-05-18,Beetroot,39,45 - 50,47 - 64
923,2024-05-18,Potato,35,40 - 44,42 - 58
924,2024-05-18,Raw Banana (Plantain),8,9 - 10,10 - 13
925,2024-05-18,Amaranth Leaves,11,13 - 14,13 - 18
